Medio Cultivo;C�d-lab;Cepa;Victoria;Proyecto;Pigmentaci�n;Lecitinasa;Ureasa;Lipasa;Amilasa;Proteasa;Catalasa;Celulasa;Fosfatasa;AIA;5 �C;37 �C;25 �C;AMP;AMC/AML;FEP;CTX;CXM;CAZ;ETP;I/R;CN;AK;K;S;NA/ND;C;AZM;TE;DO;AM E.coli;AM S.aureus;Metabolomica;16S;Nicol�s;Gram;morfologia;Genomas;Origen;;;;;;;;;;
LB/3;A4;LA 16;X;Jovan;Blanco;+;-;+;-;+++;+;++;-;-;+;+;+;R;R;S;S;S;R;S;S;S;S;S;S;S;I;S;S;S;-;+;si;Bacillus sp.;;+;Bacilos;;Laguna Amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LB/3;A3;LA 15;X;Jovan;Amarillo;+;-;- ;+;+++;+;+++;-;+;+;+;+;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;S;-;+;si;Bacillus sp.;;+;Bacilos;;Laguna Amarga;;;;;;;;;;
TSA;B9;LA 14;;;Blanco;++;-;+;++;+;-;+++;++;;+;+;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos ;;laguna amarga;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LB/3;A2;LA 12;;;Blanco;-;+;- ;-;-;-;-;-;;+;+;+;R;;;R;R;R;;;;P;;;;R;;R;;;;si;;;+;cocos;;Laguna Amarga;;;;;;;;;;
LB/3;A1;LA 11;X;;Blanco;+;-;- ;-;+;+;+++;+;+;+;+;+;I;S;I;S;S;R;R;S;I;S;I;I;R;I;R;I;S;-;-;si;Robertmurraya sp.;MDR;+;Bacilos;;Laguna Amarga;;;;;;;;;;
TSA;B1;LA 1;X;Innova sur sur;Rojo;+;-;++;-;-;-;-;+;+;+;+;+;S;S;S;I;S;R;I;S;S;I;I;R;R;S;I;S;S;-;-;;Dietzia sp.;;+;Cocos;Si (UFRO);Laguna Amarga;;;;;;;;;;
LB/3;A9A;A9A;;;Morado/negro;+;-;+;+;-;+;++;+;+;;;+;R;;;R;R;R;;;;R;;;;I;;R;;;;;;;+;Bacilos;;Lago Grey;;;;;;;;;;
TSA;;9LMT;;;Blanco;-;-;-;-;++;++;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
lb/3;;9 LML;;;Blanco;-;-;-;-;-;+;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;Lago maravilloso;;;;;;;;;;
TSA;;8LMT;;;Blanco;+;-;++;-;+++;++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Lago maravilloso;;;;;;;;;;
CM;;8LMA;;;Blanco;-;-;-;-;+;+++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;7LMT;;;Blanco;-;-;-;-;-;+;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;7CT;;;Blanco;-;-;-;-;-;++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Cascada LM;;;;;;;;;;
lb/3;;7 LML;;;Amarillo;++;-;-;-;++;+++;+;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
CM;;6LMA;;;Blanco;+;-;-;-;-;++;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;6CT;;;Blanco;+;;+++;-;+++;++;+;+++;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Cascada LM;;;;;;;;;;
lb/3;;6 LML;;;Blanco;+;-;-;-;-;+++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;5CT;;;Blanco;+;;-;-;+++;++;-;+++;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Cascada LM;;;;;;;;;;
lb/3;;5 LML;;;Blanco;+++;-;-;-;+;+++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;4LMT;;;Blanco;+;-;+++;+;++;+++;-;-;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Lago maravilloso;;;;;;;;;;
CM;;4LMA;;;Blanco;-;-;-;-;-;++;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;4CT;;;Blanco;+;;++;+;++;+++;+++;++;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Cascada LM;;;;;;;;;;
CM;;4CA;;;Blanco;-;-;-;-;-;+++;-;++;;;;+;;;;;;;;;;;;;;;;;;;;;;;+;Bacilos;;Cascada LM;;;;;;;;;;
lb/3;;4 LML;;;Blanco;+++;-;+;-;++;+++;-;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;Lago maravilloso;;;;;;;;;;
TSA;;3LMT;;;Blanco;-;+;-;-;-;++;P;+;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Lago maravilloso;;;;;;;;;;
TSA;;3CT;;;Blanco;+;;+;-;++;++;-;++;;;;+;;;;;;;;;;;;;;;;;;;;;;;-;Bacilos;;Cascada LM;;;;;;;;;;
